frame,class,conf,x1,y1,x2,y2
353,0,0.8945,1867,630,1906,668
354,0,0.8960,1867,630,1906,668
355,0,0.8989,1867,630,1906,668
356,0,0.8984,1867,630,1906,668
357,0,0.8936,1867,630,1906,668
358,0,0.8921,1867,630,1906,668
359,0,0.8960,1867,630,1906,668
360,0,0.8960,1867,630,1906,668
361,0,0.8975,1867,630,1906,667
362,0,0.8965,1867,630,1906,668
363,0,0.8960,1867,630,1906,668
364,0,0.8965,1867,630,1906,667
365,0,0.8975,1867,630,1906,667
366,0,0.8926,1867,630,1906,668
367,0,0.8945,1867,630,1906,668
367,0,0.2344,651,424,669,445
368,0,0.8960,1867,630,1906,667
368,0,0.2554,650,425,668,446
369,0,0.8960,1867,630,1906,667
369,0,0.2910,648,425,667,447
370,0,0.8945,1867,630,1906,668
370,0,0.2068,648,427,666,448
371,0,0.8960,1867,630,1906,668
371,0,0.3098,649,428,667,447
372,0,0.8960,1867,630,1906,667
372,0,0.3987,647,428,666,447
373,0,0.8975,1867,630,1906,667
373,0,0.3721,646,427,666,448
374,0,0.8965,1867,630,1906,667
374,0,0.3479,645,427,666,450
375,0,0.8984,1867,630,1906,667
375,0,0.2089,645,428,666,450
376,0,0.8975,1867,630,1906,667
376,0,0.1366,645,428,666,450
377,0,0.8984,1867,630,1906,667
377,0,0.2188,644,428,668,452
378,0,0.8975,1867,630,1906,667
378,0,0.1187,646,428,670,452
379,0,0.8999,1867,630,1906,667
380,0,0.8989,1867,630,1906,667
380,0,0.1716,649,426,670,450
381,0,0.8999,1867,630,1906,667
382,0,0.8989,1867,630,1906,667
383,0,0.8984,1867,630,1906,667
384,0,0.8989,1867,630,1906,667
385,0,0.8965,1867,630,1906,667
386,0,0.8960,1867,630,1906,667
387,0,0.8945,1867,630,1906,668
388,0,0.8926,1867,630,1906,668
389,0,0.8960,1867,630,1906,668
390,0,0.8950,1867,630,1906,667
391,0,0.8945,1867,630,1906,667
392,0,0.8950,1868,630,1905,667
393,0,0.8960,1868,630,1905,667
394,0,0.8950,1868,630,1905,667
395,0,0.8960,1867,630,1906,667
396,0,0.8960,1868,630,1905,667
397,0,0.8975,1868,630,1905,667
398,0,0.8965,1868,629,1905,666
399,0,0.8984,1868,629,1905,666
400,0,0.8950,1868,630,1905,667
401,0,0.8950,1868,631,1905,667
402,0,0.8950,1868,630,1905,667
403,0,0.8936,1868,630,1905,667
404,0,0.8945,1868,630,1905,667
405,0,0.8945,1868,631,1905,667
406,0,0.8960,1868,631,1905,667
407,0,0.8960,1868,631,1905,667
408,0,0.8965,1868,631,1905,667
409,0,0.8975,1868,631,1905,667
410,0,0.8984,1867,631,1906,667
411,0,0.8965,1867,630,1906,667
412,0,0.8989,1867,631,1906,667
413,0,0.8999,1868,630,1905,667
414,0,0.8989,1867,630,1906,667
415,0,0.8989,1867,631,1906,667
416,0,0.8989,1867,630,1906,667
417,0,0.8984,1867,630,1906,667
418,0,0.8984,1868,630,1905,667
419,0,0.8965,1868,631,1905,667
420,0,0.8960,1868,630,1905,667
421,0,0.8950,1868,630,1905,667
422,0,0.8945,1867,630,1906,667
423,0,0.8945,1868,630,1905,667
424,0,0.8945,1867,630,1906,668
425,0,0.8960,1867,630,1906,667
426,0,0.8960,1868,630,1905,667
427,0,0.8975,1867,630,1906,667
428,0,0.8984,1868,630,1905,667
429,0,0.8984,1868,630,1905,667
430,0,0.8975,1868,631,1905,667
431,0,0.8984,1868,631,1905,667
432,0,0.8945,1867,631,1906,667
433,0,0.8984,1868,631,1905,667
434,0,0.8960,1868,631,1905,667
435,0,0.8965,1868,631,1905,667
436,0,0.8960,1868,631,1905,667
437,0,0.8950,1868,631,1905,667
438,0,0.8975,1868,631,1905,667
439,0,0.8989,1868,631,1905,667
440,0,0.8975,1868,631,1905,667
440,0,0.1389,622,405,641,422
441,0,0.8960,1868,631,1905,667
441,0,0.6338,623,402,641,419
442,0,0.8960,1868,631,1905,667
442,0,0.4922,619,395,638,411
443,0,0.8960,1867,631,1906,667
444,0,0.8936,1867,630,1906,668
444,0,0.1339,614,373,637,397
445,0,0.8936,1867,630,1906,668
445,0,0.4622,614,365,639,389
446,0,0.8950,1867,630,1906,667
446,0,0.3721,610,356,632,380
447,0,0.8936,1867,630,1906,668
447,0,0.5449,611,346,630,367
448,0,0.8936,1867,630,1906,668
449,0,0.8945,1867,630,1906,668
449,0,0.6299,610,331,625,346
450,0,0.8926,1867,630,1906,668
450,0,0.6353,610,322,628,340
451,0,0.8960,1867,631,1906,667
451,0,0.1461,610,322,628,337
452,0,0.8960,1867,630,1906,668
452,0,0.4863,609,308,624,321
453,0,0.8945,1867,630,1906,668
453,0,0.7490,608,305,624,320
454,0,0.8926,1867,630,1906,668
454,0,0.7734,606,302,625,319
455,0,0.8936,1867,630,1906,668
455,0,0.7842,605,298,624,316
456,0,0.8936,1867,630,1906,668
456,0,0.7705,605,297,624,314
457,0,0.8926,1867,630,1906,668
457,0,0.6479,604,296,623,313
458,0,0.8926,1867,630,1906,668
458,0,0.6514,604,296,622,313
459,0,0.8921,1867,630,1906,668
459,0,0.6514,604,296,622,313
460,0,0.8926,1867,630,1906,668
460,0,0.6807,604,296,622,314
461,0,0.8911,1867,630,1906,668
461,0,0.7905,603,299,621,316
462,0,0.8911,1867,630,1906,668
462,0,0.7954,602,301,621,319
463,0,0.8936,1867,630,1906,668
